Acetylcholinrezeptor	Acetylcholine receptor
Adenosinmonophosphat	Adenosine monophosphate
Alpha-Hydroxybutyrat	Alpha hydroxybutyrate
Anti-Müller-Substanz	Mullerian inhibiting substance
Beobachtungszeitraum	Observation duration
Beta-Aminoisobutyrat	Beta aminoisobutyrate
Blutausstrich-Befund	Blood smear finding
Carbapenem-resistent	carbapenem resistant
Delta-Aminolevulinat	Delta aminolevulinate
Erythrozytenschatten	ghost cells
Erythrozytenzylinder	Erythrocyte casts
Gamma-Hydroxybutyrat	Gamma hydroxybutyrate
Gerinnungsinitiation	Clot initiation
Glutathionperoxidase	Glutathione peroxidase
Harnstoff-Stickstoff	Urea nitrogen
Herpes-simplex-Virus	Herpes simplex virus
Hühner-Serumproteine	Chicken serum proteins
Koschenillen-Extrakt	Cochineal extract
Labor-Untersuchungen	Laboratory studies
Maleinsäure-Anhydrid	Maleic anhydride
Medikationsübersicht	Medication summary
Patientenverfügungen	Advance healthcare directives
Probenmaterialquelle	Specimen source
Prostataspezifisches	Prostate specific
Ratten-Serumproteine	Rat serum proteins
Schweine-Urinprotein	Swine urine proteins
Semliki-Forest-Virus	Semliki forest virus
Sulfonamid-Kristalle	Sulfonamide crystals
Thrombozytenfunktion	Platelet function
Vancomycin-Resistenz	vancomycin resistance
nicht-glucuronidiert	non-glucuronidated
Adamantan-Resistenz	adamantane resistance
Adenosintriphosphat	Adenosine triphosphate
Barmah-Forest-Virus	Barmah forest virus
Behandlungsanamnese	Procedure History of Procedure Treatment history
Beta-Hydroxybutyrat	Beta hydroxybutyrate
Bilirubin-Kristalle	Bilirubin crystals
Choriongonadotropin	Choriogonadotropin
Erythrozytenklumpen	Erythrocyte clumps
Flüssigkeitsausfuhr	Fluid output
Gerinnselretraktion	Coagulum retraction
Glutathionreduktase	Glutathione reductase
Harnsäure-Kristalle	Urate crystals
Hämoglobin-Zielwert	Hemoglobin goal
Katzen-Serumalbumin	Cat serum albumin
Lactatdehydrogenase	Lactate dehydrogenase
Medikationsanamnese	Medication use
Megakaryozytenkerne	Megakaryocytic nuclei
Mikromegakaryozyten	Micromegakaryocytes
Pappenheimer-Körper	Pappenheimer bodies
Para-Aminosalicylat	Para aminosalicylate
Para-Methylhippurat	Para methylhippurate
Parainfluenza-Virus	Parainfluenza virus
Perikardflüssigkeit	pericard fld
Pferde-Serumprotein	Horse serum proteins
Phthalsäureanhydrid	Phthalic anhydride
Pilz-Kolonienanzahl	Fungus colony
Ratten-Urinproteine	Rat urine proteins
Sauerstoffsättigung	Oxygen saturation
Snowshoe-Hare-Virus	Snowshoe hare virus
Sulfachlorpyridazin	Sulfachloropyridazine
Taenia-solium-Larve	Taenia solium larva
Thrombozytenklumpen	Platelet clump
Transferrinrezeptor	Transferrin receptor
Urin-Untersuchungen	Urinalysis studies
Adenosin-Deaminase	Adenosine deaminase
Alpha-Aminobutyrat	Alpha aminobutyrate
Alpha-Ketoglutarat	Alpha ketoglutarate
