Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
アビトロフィア・デフェクティバ性心内膜炎	Abiotrophia defectiva endocarditis
カンピロバクター・ヒョウインテスチナリス	Campylobacter hyointestinalis
ステノトロフォモナス・マルトフィリア肺炎	Stenotrophomonas maltophilia pneumonia
スフィンゴモナス・パウシモビリス性菌血症	Sphingomonas paucimobilis bacteraemia
ドーパミントランスポーターシンチグラフィ	Dopamine transporter scintigraphy
マイコバクテリウム・フォルチュイツム感染	Mycobacterium fortuitum infection
先天性低性腺刺激ホルモン性性腺機能低下症	Congenital hypogonadotropic hypogonadism
アクチノバシラス・プリゥロニュウモニエ	Actinobacillus pleuropneumoniae
アスパラギン酸アミノトランスフェラーゼ	Aspartate aminotransferase
エクトチオロドスピラ・サポシニコフィイ	Ectothiorhodospira shaposhnikovii
オルニチントランスカルバミラーゼ欠損症	Ornithine transcarbamoylase deficiency
クロストリジウム・バイファーメンタンス	Paraclostridium bifermentans
サイトメガロウイルス性脊髄髄膜神経根炎	Cytomegalovirus myelomeningoradiculitis
シュードモナス・シュードアルカリゲネス	Pseudomonas pseudoalcaligenes
ストレプトマイセスオーレオファシエンス	Streptomyces aureofaciens
チオプリンメチルトランスフェラーゼ減少	Thiopurine methyltransferase decreased
プラスミノーゲン活性化因子インヒビター	Plasminogen activator inhibitor
プロスタグランジンアナログ眼窩周囲疾患	Prostaglandin analogue periorbitopathy
マイコバクテリウム・パラフィニカム感染	Mycobacterium paraffinicum infection
メチレンテトラヒドロ葉酸還元酵素欠損症	Methylenetetrahydrofolate reductase deficiency
呼吸器感染ウイルス検出キットによる検査	Respiratory viral panel
家族性低カルシウム尿性高カルシウム血症	Familial hypocalciuric hypercalcaemia
後天性低カルシウム尿性高カルシウム血症	Acquired hypocalciuric hypercalcaemia
アクロモバクター・デニトリフィカンス	Achromobacter denitrificans
アグロバクテリウム・ツメファシエンス	Agrobacterium tumefaciens
アラニンアミノトランスフェラーゼ増加	Alanine aminotransferase increased
アラニンアミノトランスフェラーゼ正常	Alanine aminotransferase normal
アラニンアミノトランスフェラーゼ減少	Alanine aminotransferase decreased
アラニンアミノトランスフェラーゼ異常	Alanine aminotransferase abnormal
アレルギー性気管支肺アスペルギルス症	Bronchopulmonary aspergillosis allergic
オーレオバシディウム・プルランス感染	Aureobasidium pullulans infection
キューティバクテリウム・アクネス感染	Cutibacterium acnes infection
クロストリジウム・ディフィシレ大腸炎	Clostridium difficile colitis
グルクロノシルトランスフェラーゼ減少	Glucuronosyltransferase decreased
グロボトリアオシルスフィンゴシン増加	Globotriaosylsphingosine increased
スフィンゴモナス・パウシモビリス感染	Sphingomonas paucimobilis infection
フェノールスルホンフタレイン試験正常	Phenolsulfonphthalein test normal
フェノールスルホンフタレイン試験異常	Phenolsulfonphthalein test abnormal
マイコバクテリウム・ウルセランス感染	Mycobacterium ulcerans infection
マイコバクテリウム・ヘモフィルム感染	Mycobacterium haemophilum infection
メチレンテトラヒドロ葉酸還元酵素多型	Methylenetetrahydrofolate reductase polymorphism
ラオウルテラ・オルニチノリティカ感染	Raoultella ornithinolytica infection
一過性新生児高甲状腺刺激ホルモン血症	Transient neonatal hyperthyrotropinaemia
尿中ヒドロキシコルチコステロイド増加	Hydroxycorticosteroids urine increased
尿中ヒドロキシコルチコステロイド正常	Hydroxycorticosteroids urine normal
尿中ヒドロキシコルチコステロイド減少	Hydroxycorticosteroids urine decreased
尿中ヒドロキシコルチコステロイド異常	Hydroxycorticosteroids urine abnormal
アシネトバクター・カルコアセチカス	Acinetobacter calcoaceticus
オクサロバクター・フォルミジェネス	Oxalobacter formigenes
オリゴクローン性免疫グロブリン血症	Oligoclonal gammopathy
カンピロバクター・ウプサリエンシス	Campylobacter upsaliensis
クリプトコッカス・ネオフォルマンス	Cryptococcus neoformans
クロストリジウム・テタノモルファム	Clostridium tetanomorphum
クロストリジウム・ディフィシレ免疫	Clostridium difficile immunisation
クロストリジウム・ディフィシレ感染	Clostridium difficile infection
サイトメガロウイルス性皮膚粘膜潰瘍	Cytomegalovirus mucocutaneous ulcer
ステノトロホモナス・マルトフィリア	Stenotrophomonas maltophilia
ストレプトマイセスアンチビオチクス	Streptomyces antibioticus
チオプリンメチルトランスフェラーゼ	Thiopurine methyltransferase
バークホルデリア・グラディオリ感染	Burkholderia gladioli infection
パラインフルエンザウイルス気管支炎	Parainfluenzae viral bronchitis
フェニルアラニンスクリーニング陰性	Phenylalanine screen negative
フェニルアラニンスクリーニング陽性	Phenylalanine screen positive
マイコバクテリウムセクロフラセウム	Mycobacterium scrofulaceum
マイコバクテリウム・アブセサス感染	Mycobacterium abscessus infection
マイコバクテリウム・カンサシイ感染	Mycobacterium kansasii infection
マイコプラズマ・ジェニタリウム感染	Mycoplasma genitalium infection
リゾビウム・ラジオバクター性菌血症	Rhizobium radiobacter bacteraemia
医療機器キャリブレーションの不具合	Device calibration failure
家族性低カリウム血性アルカローシス	Familial hypokalaemic alkalosis
尿中テトラハイドロコルチゾール増加	Tetrahydrocortisol urine increased
尿中テトラハイドロコルチゾール減少	Tetrahydrocortisol urine decreased
良性単クローン性高γグロブリン血症	Hypergammaglobulinaemia benign monoclonal
非定型マイコバクテリア性リンパ節炎	Atypical mycobacterial lymphadenitis
高トリグリセリド血症ウエスト表現型	Hypertriglyceridaemic waist phenotype
アセチルコリンエステラーゼ欠損症	Acetylcholinesterase deficiency
アテローム動脈硬化性プラーク破裂	Atherosclerotic plaque rupture
アラニンアミノトランスフェラーゼ	Alanine aminotransferase
アルギニノコハク酸分解酵素欠損症	Argininosuccinate lyase deficiency
アルギニノコハク酸合成酵素欠損症	Argininosuccinate synthetase deficiency
ウレアプラズマ・ウレアリティカム	Ureaplasma urealyticum
キサントモナス・アキソノポディス	Xanthomonas axonopodis
クロストリジウムコラゲナーゼ療法	Clostridial collagenase procedure
クロストリジウム・セルロボランス	Clostridium cellulovorans
グルタチオンペルオキシダーゼ増加	Glutathione peroxidase increased
コンダクティブ・エデュケーション	Conductive education
サイトメガロウイルス性十二指腸炎	Cytomegalovirus duodenitis
サイトメガロウイルス性消化管感染	Cytomegalovirus gastrointestinal infection
サイトメガロウイルス性脈絡網膜炎	Cytomegalovirus chorioretinitis
ジエチルスチルベストロール症候群	Diethylstilboestrol syndrome
ジヒドロピリミジン脱水素酵素欠損	Dihydropyrimidine dehydrogenase deficiency
スタヒロコッカス・ヘモリティカス	Staphylococcus haemolyticus
ストレプトコッカス・アンギノズス	Streptococcus anginosus
スルホロブス・アシドカリダリウス	Sulfolobus acidocaldarius
デヒドロエピアンドロステロン増加	Dehydroepiandrosterone increased
デヒドロエピアンドロステロン検査	Dehydroepiandrosterone test
デヒドロエピアンドロステロン減少	Dehydroepiandrosterone decreased
トレポネーマ・ヒオディセンテリエ	Brachyspira hyodysenteriae
ニューモシスチス・イロベチイ感染	Pneumocystis jirovecii infection
ニューモシスチス・イロベチイ肺炎	Pneumocystis jirovecii pneumonia
バイスペクトラルインデックス低下	Bispectral index decreased
バクテリアルトランスロケーション	Bacterial translocation
バクテロイデス・メラニノゲニカス	Prevotella melaninogenica
パラインフルエンザウイルス性肺炎	Pneumonia parainfluenzae viral
パラコッカス・デニトリフィカンス	Paracoccus denitrificans
ヒドロキシコルチコステロイド増加	Hydroxycorticosteroids increased
ピルビン酸カルボキシラーゼ欠損症	Pyruvate carboxylase deficiency
フェノールスルホンフタレイン試験	Phenolsulfonphthalein test
ブロモスルフォフタレイン検査異常	Bromosulphthalein test abnormal
プレジオモナス・シゲロイデス感染	Plesiomonas shigelloides infection
ペプトストレプトコッカス検査陽性	Peptostreptococcus test positive
マイコバクテリア性疾患キャリアー	Mycobacterial disease carrier
マイコバクテリウム・ケロナエ感染	Mycobacterium chelonae infection
マイコバクテリウム・ヘモフィルム	Mycobacterium haemophilum
マイコバクテリウム・マリヌム感染	Mycobacterium marinum infection
モノクローナル免疫グロブリン増加	Monoclonal immunoglobulin increased
モノクローナル免疫グロブリン陽性	Monoclonal immunoglobulin present
ラクトバシラス・デルブリュッキイ	Lactobacillus delbrueckii
世代伝播性エピジェネティック遺伝	Transgenerational epigenetic inheritance
先天性高インスリン血症性低血糖症	Congenital hyperinsulinaemic hypoglycaemia
免疫グロブリンクロナリティー解析	Immunoglobulin clonality assay
化学療法時のサイトカイン予防投与	Chemotherapy cytokine prophylaxis
医療機器サイバーセキュリティ問題	Device cybersecurity issue
呼吸器病原体検出キットによる検査	Respiratory pathogen panel
尿中テトラハイドロコルチゾン増加	Tetrahydrocortisone urine increased
尿中テトラハイドロコルチゾン減少	Tetrahydrocortisone urine decreased
尿中ヒドロキシコルチコステロイド	Hydroxycorticosteroids urine
正常血糖糖尿病性ケトアシドーシス	Euglycaemic diabetic ketoacidosis
特発性ヒスタミン作動性血管性浮腫	Idiopathic histaminergic angioedema
破骨細胞分化抑制因子リガンド減少	Osteoprotegerin ligand decreased
総合的オーラルリハビリテーション	Complete oral rehabilitation
腰部脊柱管の再キャリブレーション	Lumbar canal recalibration
遠隔転移を伴うグルカゴン産生腫瘍	Metastatic glucagonoma
遠隔転移を伴う悪性血管周囲細胞腫	Malignant haemangiopericytoma metastatic
遠隔転移を伴う隆起性皮膚線維肉腫	Dermatofibrosarcoma protuberans metastatic
遺伝性神経障害性アミロイドーシス	Hereditary neuropathic amyloidosis
非定型マイコバクテリウム性心膜炎	Atypical mycobacterium pericarditis
アクチノマイセス・ビスコーサス	Actinomyces viscosus
アコレプラスマ・レイドロウィイ	Acholeplasma laidlawii
アデニロコハク酸リアーゼ欠損症	Adenylosuccinate lyase deficiency
アデノウイルス性脳脊髄神経根炎	Adenovirus encephalomyeloradiculitis
アルギニノコハク酸分解酵素増加	Argininosuccinate lyase increased
アルギニノコハク酸分解酵素減少	Argininosuccinate lyase decreased
アルコール性多発ニューロパチー	Polyneuropathy alcoholic
アルファルファモザイクウイルス	Alfalfa mosaic virus
インセンティブスパイロメトリー	Incentive spirometry
ウイルス性疾患病原体キャリアー	Viral disease carrier
ウェランダー型遠位型ミオパチー	Welander distal myopathy
エンテロバクター性気管気管支炎	Enterobacter tracheobronchitis
エンペドバクター・ブレビス感染	Empedobacter brevis infection
オルソポックスウイルス検査陽性	Orthopoxvirus test positive
ガス注入による黄斑下血腫移動術	Macular pneumatic displacement
キサントモナス・ベシカトーリア	Xanthomonas vesicatoria
