가성콜린에스테르분해효소	Pseudocholinesterase phenotype
고밀도지질단백콜레스테롤	Cholesterol
디옥시리보누클레아제항체	Deoxyribonuclease
디팔미토일포스파티딜콜린	Dipalmitoylphosphatidylcholine
모닐리포르미스사슬막대균	Streptobacillus moniliformis
생식기관마이코플라스마종	Mycoplasma
생체이용가능에스트라디올	Estradiol
완전융모생식샘자극호르몬	Choriogonadotropin
이소크리카르복실포르피린	Isotricarboxylporphyrin
이소헵사카르복실포르피린	Isohexacarboxylporphyrin
이소헵타카르복실포르피린	Isoheptacarboxylporphyrin
이인산글리세린산전위효소	Diphosphoglycerate mutase
저밀도지질단백콜레스테롤	Cholesterol
중밀도지질단백콜레스테롤	Cholesterol
테트라하이드로알도스테론	Tetrahydroaldosterone
디클로로디플루오로메탄	Dichlorodifluoromethane
디클로로디플루오로에탄	Dichlorodifluoroethane
디페닐메톡시아세테이트	Diphenylmethoxyacetate
비에스테르화콜레스테롤	Cholesterol
지속성갑상샘자극호르몬	Thyrotropin
캐노디옥시콜릴글라이신	Chenodeoxycholylglycine
테트라하이드로폴레이트	Tetrahydrofolate
트리클로로플루오로메탄	Trichlorofluoromethane
트리클로로플루오로에탄	Trichlorofluoroethane
포스포글리세로무타아제	Phosphoglyceromutase
하이드로코르티코스테론	Hydrocorticosterone
갈락토실세라미다아제	Galactosylceramidase
골수세포형과산화효소	Myeloperoxidase
글로코실세라미다아제	Glucosylceramidase
덱스프로메타암페타민	Dextromethamphetamine
디데스메틸시탈로프람	Didesmethylcitalopram
디옥시리보핵산단백질	Deoxyribonucleoprotein
매우긴사슬유형지방산	Fatty acids
모노올리고사카라이드	Transferrin
브로모디펜하이드라민	Bromodiphenhydramine
생체이용가능에스트론	Estrone
성장호르몬분비호르몬	Growth hormone-releasing hormone
술포닐요소혈당강하제	Hypoglycemics
스핑고미엘린분해효소	Acid sphingomyelinase
아르기니노숙시네이트	Argininosuccinate
아세틸콜린에스테라제	Acetylcholinesterase
유리데옥시피리디놀린	Deoxypyridinoline
유리디하이드로코데인	Dihydrocodeine
유리하이드록시프롤린	Hydroxyproline
융모생식샘자극호르몬	Choriogonadotropin
클로르디아제폭사이드	chlordiazePOXIDE
클로르테트라사이클린	Chlortetracycline
테르모악티노미세스종	Thermoactinomyces
페닐프로피오닐글리신	Phenylpropionylglycine
펜타카르복실포르피린	Pentacarboxylporphyrins
포스파티딜에탄올아민	Phosphatidylethanolamine
포스포글루코무타아제	Phosphoglucomutase
포스포프룩토키나아제	Phosphofructokinase
프로피온산플루티카손	Fluticasone propionate
헥사카르복실포르피린	Hexacarboxylporphyrin
헵타카르복실포르피린	Heptacarboxylporphyrin
헵타클로르에폭사이드	Heptachlorepoxide
결합티록신글로불린	thyroxine binding globulin bound
고리일인산구아노신	Guanosine monophosphate
글루탐산탈수소효소	Glutamate dehydrogenase
글리코사미노글리칸	Glycosaminoglycans
덱스트로모라마이드	Dextromoramide
디멘하이드리네이트	dimenhyDRINATE
디에틸스틸베스트롤	Diethylstilbestrol
디에틸카르바마제핀	Diethylcarbamazepine
디카르복실포르피린	Protoporphyrin
롤리테트라사이클린	Rolitetracycline
리노레오일카르니틴	Linoleoylcarnitine (C18:2)
메테코프로포르피린	Methcoproporphyrin
메토클로프라마이드	Metoclopramide
메틸말로닐카르니틴	Methylmalonylcarnitine (C4-DC)
멕시코리슈만편모충	Leishmania mexicana
벤드로플루아자이드	Bendroflumethiazide
부신겉질자극호르몬	Corticotropin
비결합에스트라디올	Estradiol
비에스테르화지방산	Fatty acids
성장호르몬억제인자	Somatostatin
수중다리가루진드기	Acarus siro
시클로타이아자이드	Cyclothiazide
아데닐레이트키나제	Adenylate kinase
아르기노숙시네이트	Argininosuccinate
아미노카프로에이트	Aminocaproate
아연프로토포르피린	Protoporphyrin
아입자베타지질단백	Lipoprotein
에피클로로하이드린	Epichlorohydrin
옥시테트라사이클린	Oxytetracycline
완전부갑상샘호르몬	Parathyrin
유리노르메타네프린	Normetanephrine
유리안드로스타놀론	Androstanolone
유리프로토포르피린	Protoporphyrin
유리하이드로모르폰	HYDROmorphone
이소발레릴카르니틴	Isovalerylcarnitine (C5)
이소코프로포르피린	Isocoproporphyrin
이이소시안화톨루엔	Toluene diisocyanate
창자펩티드분해효소	Enteropeptidase
총크레아틴키나아제	Creatine kinase
크립토스포리디움종	Cryptosporidium
태반젖샘자극호르몬	Choriomammotropin
테트라하이드로퓨란	Tetrahydrofuran
텍사스바베스열원충	Babesia bigemina
페닐글리옥실레이트	Phenylglyoxylate
포스파티드산염항체	Phosphatidate
포스파티딜글리세롤	Phosphatidylglycerol
포스파티딜리노시톨	Phosphatidylinositol
포스파티딜이노시톨	Phosphatidylinositol
피하리슈만편모원충	Leishmania braziliensis
하이드록소코발라민	Hydroxocobalamin
하이드록시칼시디올	Hydroxycalcidiol
핵유사분열방추항체	Mitotic spindle apparatus
히알루론산분해효소	Hyaluronidase
감마글로불린병증	Gammopathy
갑상샘자극호르몬	Thyrotropin
거대세포바이러스	Cytomegalovirus
결합벨프로에이트	Valproate
결합콜릴글라이신	Cholylglycine
결합테스토스테론	Testosterone
고도불포화지방산	Fatty acids
글루타릴카르니틴	Glutarylcarnitine (C5-DC)
글루탈알데하이드	Glutaraldehyde
내장리슈만편모충	Leishmania donovani
단일불포화지방산	Fatty acids
데옥시콜릴글리신	Deoxycholylglycine
데옥시피리디놀린	Deoxypyridinoline
덱스트로메토르판	Dextromethorphan
덱스트로암페타민	Dextroamphetamine
디메틸설폭사이드	Dimethylsulfoxide
디메틸포름아미드	Dimethylformamide
디클로르펜아미드	Dichlorphenamide
디하이드로코데인	Dihydrocodeine
레보메타암페타민	Levomethamphetamine
리보핵산분해효소	Ribonuclease
마이코플라스마종	Mycoplasma
마크로아밀라아제	Macroamylase
매우긴사슬지방산	Fatty acids
메칠프레드니소론	Methylprednisolone
메톡시아세테이트	Methoxyacetate
면역모세포림프구	Lymphocytes
무정형요산염결정	Urate crystals
미성숙과립백혈구	Granulocytes
미성숙그물적혈구	Reticulocytes
바이오티니다아제	Biotinidase
방울다다기양배추	Brassica oleracea var italica
변형적혈구증가증	Poikilocytosis
비결합에스트리올	Estriol
사수소화카나비놀	Tetrahydrocannabinol
사이프로프록사신	Ciprofloxacin
스트렙토키나아제	Streptokinase
시알로올리고당류	Sialooligosaccharides
아데노바이러스종	Adenovirus
아디포일카르니틴	Adipoylcarnitine (C6-DC)
아르기닌분해효소	Arginase
아미노벤조에이트	Aminobenzoate
아미노살리실산염	Aminosalicylate
아세트알데하이드	Acetaldehyde
아스트로바이러스	Astrovirus
아스페르길루스종	Aspergillus
아이코사노이드산	Arachidate
아크릴로나이트릴	Acrylonitrile
아크릴알데하이드	Acrylaldehyde
악티노바실루스종	Actinobacillus
안드로스타네디올	Androstanediol
안드로스테네디온	Androstenedione
안드로스테네디올	Androstenediol
알부민결합티록신	Thyroxine
에스테르화지방산	Fatty acids
에이코사펜타엔산	Eicosapentaenoate
에피안드로스테론	Epiandrosterone
에피테스토스테론	Epitestosterone
올리고사카라이드	Oligosaccharides
올소폭스바이러스	Orthopoxvirus
유럽집먼지진드기	Dermatophagoides pteronyssinus
유리벨프로에이트	Valproate
유리삼요드티로닌	Triiodothyronine
유리에스트라디올	Estradiol
유리카르바마제핀	carBAMazepine
유리테스토스테론	Testosterone
유리페노바르비탈	PHENobarbital
유리하이드로코돈	HYDROcodone
이소발레릴글리신	Isovalerylglycine
정염색성적혈모구	Normoblasts
진성삼요드티로닌	Triiodothyronine
총안드로스타놀론	free
총코프로포르피린	Coproporphyrin
캐노디옥시콜산염	Chenodeoxycholate
콕시디오이데스종	Coccidioides
콜리스티메테이트	Colistimethate
콜린에스테라아제	Cholinesterase
크루스파동편모충	Trypanosoma cruzi
큰다리먼지진드기	Dermatophagoides farinae
클라리스로마이신	Clarithromycin
클로로벤질레이트	Chlorobenzilate
클로로아세테이트	Chloroacetate
