Профессиональный анамнез	Occupation History of Occupation
Галактозилцерамидаза	Galactosylceramidase
Гексаметилфосфорамид	Hexamethylphosphoramide
Дезоксикортикостерон	11-Deoxycorticosterone
Дезпропионилфентанил	Despropionylfentanyl
Дигомогаммалиноленат	Dihomogammalinolenate
Дифенилметоксиацетат	Diphenylmethoxyacetate
Карциноэмбриональный	Carcinoembryonic
Неидентифицированные	Unidentified cells
Неидентифицированный	Unidentified
Пентахлорнитробензол	Pentachloronitrobenzene
Пируватдегидрогеназа	Pyruvate dehydrogenase E1
Тетрахлордифенилэтан	Tetrachlorodiphenylethane
Трихлорфеноксиацетат	Trichlorophenoxyacetate
Фенилпропионилглицин	Phenylpropionylglycine
Фосфатидилэтаноламин	Phosphatidylethanolamine
неэстерифицированные	nonesterified
Акарбоксипротромбин	Acarboxyprothrombin
Ацетилхолинэстераза	Acetylcholinesterase
Гидроксиитраконазол	Hydroxyitraconazole
Гидроксипергексилин	Hydroxyperhexiline
Дезоксирибонуклеаза	Deoxyribonuclease
Декстрометамфетамин	Dextromethamphetamine
Метилнортестостерон	Methylnortestosterone
Паранеопластические	Paraneoplastic
Паранеопластический	Paraneoplastic
Тетрагидробиоптерин	Tetrahydrobiopterin
Тетрагидрогестринон	Tetrahydrogestrinone
Тетрагидроканнабиол	Tetrahydrocannabinol
Фенолсульфонфталеин	Phenolsulphonphthalein
Фосфоглицераткиназа	Phosphoglycerate kinase
бета-гемолитический	beta-hemolytic
гипогранулированные	hypogranulated
коагулазонегативный	coagulase negative
лактатдегидрогеназа	Plasmodium sp lactate dehydrogenase
неглюкуронированный	non-glucuronidated
нефракционированный	unfractionated
супероксиддисмутаза	Hepatitis C virus superoxide dismutase
Бромодифенгидрамин	Bromodiphenhydramine
Гексахлоробутадиен	Hexachlorobutadiene
Гидрокортикостерон	Hydrocorticosterone
Гидроксиалпразолам	Hydroxyalprazolam
Гидроксидекандиоат	Hydroxydecanedioate
Гидроксидодеканоат	3-Hydroxydodecanoate
Гликозаминогликаны	Glycosaminoglycans
Глюкозилцерамидаза	Glucosylceramidase
Дезбутилбупивокаин	Desbutylbupivacaine
Дезоксипиридинолин	Deoxypyridinoline
Диэтилкарбамазепин	Diethylcarbamazepine
Иммуноэлектрофорез	Immunoelectrophoresis
Карбоксигемоглобин	Carboxyhemoglobin
Клещ домашней пыли	Dermatophagoides sp House dust mite IgE Ab
Метиландростендиол	Methylandrostenediol
Метилизобутилкетон	Methyl isobutyl ketone
Микромегакариоциты	Micromegakaryocytes
Норхлордиазепоксид	Norchlordiazepoxide
Сиалоолигосахариды	Sialooligosaccharides
Тетрагидрокортизол	Tetrahydrocortisol
Тетрагидрокортизон	Tetrahydrocortisone
Трихлортрифторэтан	Trichlorotrifluoroethane
Тромбоэластографии	Thromboelastography
Фенилэтилмалонамид	Phenylethylmalonamide
Фосфатидилглицерол	Phosphatidylglycerol
Фосфатидилинозитол	Phosphatidylinositol
Фосфоглицеромутаза	Phosphoglyceromutase
Фумарилацетоацетат	Fumarylacetoacetate
Холотранскобаламин	Holo-transcobalamin II
альфакетоглутарата	Glucose^15M pre dose ornithine alpha-ketoglutarate
дезинтегрированный	disintegrated
неидентифицируемые	unidentified
полихроматофильные	polychromatophilic
сыворотка-альбумин	serum-albumin
транс-Октадеканоат	trans-Octadecanoate
углевод-дефицитный	carbohydrate deficient
хлорфенилпиперазин	M-chlorophenylpiperazine
эстерифицированные	esterified
Аденозинтрифосфат	Adenosine triphosphate
Апотранскобаламин	Apo-transcobalamin I
Бендрофлуметиазид	Bendroflumethiazide
Бета-пропиолактон	Beta-propiolactone
Гидроксибупропион	Hydroxybupropion
Гидроксигексаноат	3-Hydroxyhexanoate
Гидроксикобаламин	Hydroxocobalamin
Гидроксипальмитат	3-Hydroxypalmitate
Гидрокситриазолам	Hydroxytriazolam
Гипогликемические	Hypoglycemics
Глицерофосфохолин	Glycerophosphocholine
Дезалкилгалазепам	Desalkylhalazepam
Дезоксигемоглобин	Deoxyhemoglobin
Дезэтилварденафил	Desethylvardenafil
Деоксихолилглицин	Deoxycholylglycine
Диметилсульфоксид	Dimethylsulfoxide
Дифтордихлорметан	Dichlorodifluoroethane
Дихлордифторметан	Dichlorodifluoromethane
Диэтилстилбестрол	Diethylstilbestrol
Метилизоамилкетон	Methyl isoamyl ketone
Микрокальцификаты	Microcalcifications
Неспецифицируемые	Unspecified cells
Продолжительность	Duration
Сульфамедраксозол	Sulfamedraxozole
Сульфонилмочевина	Sulfonylurea
Толуолдиизоцианат	2,4-Toluene diisocyanate
Уридилтрансфераза	Galactose 1 phosphate uridyl transferase
Фенилпропаноламин	Phenylpropanolamine
Формиминоглутамат	Formiminoglutamate
Фосфофруктокиназа	Phosphofructokinase
Хориогонадотропин	Choriogonadotropin
Цианметгемоглобин	Cyanmethemoglobin
агглютинированные	agglutinated
беспрепятственный	unobstructed
вакуолизированные	vacuolated
макромолекулярная	macromolecular
макромолекулярный	macromolecular
мышце-специфичный	muscle specific
неконъюгированный	unconjugated
нестимулированный	unstimulated
сыворотка-глюкоза	serum-glucose
филаментированные	filamented
фитогемагглютинин	phytohemagglutinin
фосфорилированный	phosphorylated
Антиконвульсанты	Anticonvulsants
Аргининосукцинат	Argininosuccinate
Ацетилдигитоксин	Acetyldigitoxin
Ваниллилманделат	Vanillylmandelate
Внутрипросветный	Intraluminal
Внутрисосудистый	Intravascular
