# ── Microbe & virus colloquial names (clinical CN vs LOINC literal) ─
# Bare 虫卵 (worm egg) lacks the 寄生虫 (parasite) token, so the embedder
# read it as a visible object and picked `Macroscopic observation in
# Stool` instead of `Ova and parasites identified in Stool` (where the
# 寄生虫卵 sibling correctly lands). 血吸虫卵 keyed longer-first so the
# bare-虫卵 catch doesn't drag it off its species leaf (Schistosoma).
虫卵	Ova and parasites Parasite ova
血吸虫卵	Schistosoma ova
水痘带状疱疹病毒	Varicella zoster virus VZV
呼吸道合胞病毒	Respiratory syncytial virus RSV
丁型肝炎病毒	Hepatitis D virus HDV
丙型肝炎病毒	Hepatitis C virus HCV
乙型流感病毒	Influenza B virus
乙型肝炎病毒	Hepatitis B virus HBV
单纯疱疹病毒	Herpes simplex virus HSV
卡氏肺孢子虫	Pneumocystis jirovecii
戊型肝炎病毒	Hepatitis E virus HEV
甲型流感病毒	Influenza A virus
甲型肝炎病毒	Hepatitis A virus HAV
绿脓假单胞菌	Pseudomonas aeruginosa
副流感病毒	Parainfluenza virus
嗜热放线菌	Thermophilic Actinomycetes
嗜肺军团菌	Legionella pneumophila
巨细胞病毒	Cytomegalovirus CMV
新型隐球菌	Cryptococcus neoformans
柯萨奇病毒	Coxsackievirus
白色念珠菌	Candida albicans
组织胞浆菌	Histoplasma
肺炎支原体	Mycoplasma pneumoniae
腮腺炎病毒	Mumps virus
解脲支原体	Ureaplasma urealyticum
解脲脲原体	Ureaplasma urealyticum
EB病毒	Epstein Barr virus EBV
假丝酵母	Candida
寨卡病毒	Zika virus
枯草杆菌	Bacillus subtilis
球孢子菌	Coccidioides
登革病毒	Dengue virus
白念珠菌	Candida albicans
结核杆菌	Mycobacterium tuberculosis
绿脓杆菌	Pseudomonas aeruginosa
肠道病毒	Enterovirus
肺孢子菌	Pneumocystis
诺如病毒	Norovirus
轮状病毒	Rotavirus
风疹病毒	Rubella virus
麻疹病毒	Measles virus
麻风杆菌	Mycobacterium leprae
丝衣霉	Byssochlamys
弓形体	Toxoplasma gondii
弓形虫	Toxoplasma gondii
念珠菌	Candida
曲霉菌	Aspergillus
根霉菌	Rhizopus
毛霉菌	Mucor
腺病毒	Adenovirus
隐球菌	Cryptococcus
根霉	Rhizopus
毛霉	Mucor
水痘	Varicella zoster

# ── Clinical lab acronyms (full name + abbreviation) ─────────────
