# Google Health Connect: vendor fields to LOINC 2.83
#
# androidx Health Connect Record classes to the catalogue and to LOINC. Health Connect is the
# Android aggregation layer many vendors' apps write into, so one integration covers many devices.
#
# Source, read 2026-09-09:
#   https://developer.android.com/reference/androidx/health/connect/client/records/package-summary
#   The androidx Record classes; 42 of them.
#
# Columns:
#   type        the vendor's data type, record class or endpoint, verbatim
#   field       the field inside it, verbatim; empty when the type is the reading
#   metric      the mirobody catalogue name (res/metrics.tsv); empty when the catalogue has no row
#   loinc       the LOINC code the field means; EMPTY IS A DECLINE, and the note says why
#   confidence  confident = the six LOINC axes agree with the vendor's definition;
#               unverified = close, a person must confirm before a reading is filed under it
#   note        the reasoning; some notes are in Chinese, as they were written
#
# Every code was checked by hand against the LOINC 2.83 axis table on 2026-09-09.
# No vendor API carries a LOINC code of its own. LOINC is copyright Regenstrief
# Institute, Inc. (https://loinc.org/kb/license/); see LICENSE-3RD-PARTY section 3.
# Generated from the maintainers' review tables; edit through a pull request,
# and keep the file loadable by mirobody.translate.devices.
type	field	metric	loinc	confidence	note
HeartRateRecord		heartRates	8867-4	confident	samples: bpm
RestingHeartRateRecord		restingHeartRates	40443-4	confident	
HeartRateVariabilityRmssdRecord		hrvRMSSD			类名即 Rmssd。LOINC 只有 SDNN（112429-6），无 RMSSD 码 —— 与华为 / Fitbit / Whoop / Oura 同一缺口，(see docs/device-crosswalk.md)
OxygenSaturationRecord		oxygenSaturations	59408-5	confident	percentage；设备为脉搏血氧，用 METHOD=Pulse oximetry 的码
RespiratoryRateRecord		respiratoryRates	9279-1	confident	rate: breaths/min
BloodPressureRecord		systolicPressures	8480-6	confident	另有 diastolic → 8462-4；含 bodyPosition / measurementLocation 枚举
BloodGlucoseRecord		bloodGlucoses	2339-0	confident	含 relationToMeal / specimenSource 枚举；若为血糖仪可用 41653-7
BodyTemperatureRecord		bodyTemperatures	8310-5	confident	含 measurementLocation 枚举
BasalBodyTemperatureRecord					LOINC 有基础体温码族（生育相关），本仓无对应 member
SkinTemperatureRecord		skinTemperature	61008-9	unverified	本次更正上一轮结论：`61008-9` Body surface temperature 是 Temp/Qn/SYSTEM=Surface，是定量体表温度码（IEEE MDC_TEMP_BODY）。HC 该 Record 有 `baseline`（绝对值）+ `deltas`（偏差）+ `measurementLocation`。落码规则见下三行
SkinTemperatureRecord	baseline+measurementLocation=FINGER		60830-7	confident	Finger temperature，Temp/Qn/SYSTEM=Finger —— 戒指类设备（Oura）的精确落点
SkinTemperatureRecord	baseline+measurementLocation=TOE		60833-1	confident	Toe temperature
SkinTemperatureRecord	deltas	temperatureDelta			偏差量不是温度量，LOINC 无「相对基线温差」码；同 Fitbit tempSkin.nightlyRelative
StepsRecord		steps	55423-8	confident	count；日汇总用 41950-7
