# open-wearables SeriesType → mirobody catalogue metric.
#
# open-wearables (MIT, github.com/the-momentum/open-wearables) is a device
# ACCESS platform: twelve provider strategies, four mobile SDKs, webhooks,
# multi-account sync. Its `SeriesType` enum is 93 stable integer ids with a
# name and a free-text unit label, and deliberately no terminology system —
# its own standardization document says so. This file is the seam: run
# open-wearables to CONNECT devices, run mirobody to make the data mean one
# thing and answer questions about it.
#
# Columns:
#   ow_type      the SeriesType value, verbatim
#   ow_unit      the unit label it publishes, verbatim
#   metric       the mirobody catalogue name, or empty when we have none
#   note         why, when the mapping is not an identity
#
# A row with an empty `metric` is an EXPLICIT decline, not an omission: the
# decoder quarantines that type rather than guessing a name, and the note says
# what a consumer would have to add to the catalogue to accept it. That is the
# same rule `metrics.mapping_for` follows — a confident wrong code is worse
# than an honest gap.
ow_type	ow_unit	metric	note
heart_rate	bpm	heartRates	
resting_heart_rate	bpm	restingHeartRates	
heart_rate_variability_sdnn	ms	hrvDatas	the catalogue's generic HRV series; SDNN and RMSSD are two statistics of it and only RMSSD has its own row
heart_rate_variability_rmssd	ms	hrvRMSSD	
heart_rate_recovery_one_minute	bpm		no catalogue metric for one-minute recovery
walking_heart_rate_average	bpm	walkingHeartRates	
oxygen_saturation	percent	oxygenSaturations	
blood_glucose	mg_dl	bloodGlucoses	mg_dl is mg/dL, which is the catalogue unit too
blood_pressure_systolic	mmHg	systolicPressures	
blood_pressure_diastolic	mmHg	diastolicPressures	
respiratory_rate	brpm	respiratoryRates	brpm is breaths/min; the engine does not know the spelling, so the table gives it
sleeping_breathing_disturbances	count	sleepDisturbances	
breathing_disturbance_index	score		a vendor index with no unit; not a measurement
blood_alcohol_content	mg_dl		OW labels this mg_dl; blood alcohol is normally %BAC, so the label is not trusted
peripheral_perfusion_index	score		no catalogue metric
forced_vital_capacity	liters		spirometry is not in the catalogue yet
forced_expiratory_volume_1	liters		spirometry is not in the catalogue yet
peak_expiratory_flow_rate	L/min		spirometry is not in the catalogue yet
