# Chinese disease names -> ICPC-3 D component. OUR writing, Apache-2.0.
#
# NOT a translation of ICPC-3. Same rule as symptoms_zh.tsv: the left-hand side
# is what a person writes when naming a condition they have been diagnosed
# with, the right-hand side is our judgement about which code that is, and no
# ICPC-3 term appears in this file in any language. See res/icpc3/icpc3.NOTICE.
#
# This is the D axis, not the S axis. 过敏 is refused there, because as a
# complaint it names a mechanism rather than a symptom, and codes here as the
# allergy diagnosis; both are right, because the caller says which question it
# is asking. Nothing here belongs in symptoms_zh.tsv and nothing there belongs
# here.
#
# Two sentinels instead of a code:
#   !too-broad   names a family, not a diagnosis. Never answered.
#   !ambiguous   the classification asks which one. A person can say; we cannot.
surface	code	note
# ── A: general, infection, injury ────────────────────────────────────────
麻疹	AD01
水痘	AD02
风疹	AD03
传染性单核细胞增多症	AD04
肺结核	AD15
结核病	AD15
疟疾	AD16
败血症	AD23
脓毒症	AD23
癌症	AD25
恶性肿瘤	AD25
药物过敏	AD41
药物不良反应	AD41
过敏	AD46	on the D axis this is the allergy diagnosis; the S axis refuses it as a mechanism
过敏反应	AD46
# ── B: blood and immune ─────────────────────────────────────────────────
淋巴结炎	BD01
艾滋病	BD04
hiv感染	BD03
缺铁性贫血	BD66
巨幼细胞性贫血	BD67
凝血功能障碍	BD78
血友病	BD78
白血病	BD25
贫血	!ambiguous	iron deficiency (BD66), B12 or folate (BD67), haemolytic (BD65) and other (BD77) are four codes
# ── D: digestive ────────────────────────────────────────────────────────
病毒性肝炎	DD03
乙肝	DD03
腮腺炎	DD02
急性胃肠炎	DD05
肠道寄生虫	DD07
胃癌	DD25
结肠癌	DD26
大肠癌	DD26
胰腺癌	DD27
牙周病	DD65
胃食管反流	DD67
反流性食管炎	DD67
十二指肠溃疡	DD69
胃溃疡	DD70
消化性溃疡	DD70
胃炎	DD71
慢性胃炎	DD71
阑尾炎	DD72
腹股沟疝	DD73
食管裂孔疝	DD74
脐疝	DD75
憩室病	DD77
肠易激综合征	DD78
炎症性肠病	DD79
克罗恩病	DD79
溃疡性结肠炎	DD79
肛裂	DD80
脂肪肝	DD81
肝硬化	DD81
胆囊炎	DD82
胆结石	DD82
乳糜泻	DD83
痔疮	DD84
