chapter	code	kind	preferred	inclusions	exclusions	depth	id
A	AS01	symptom	General pain in multiple sites		chronic widespread pain (fibromyalgia) LS18	0	124
A	AS02	symptom	Chills	rigors;shivers	fever AS03	0	125
A	AS03	symptom	Fever	pyrexia	heat exhaustion/stroke AD45;viral exanthem with fever AD13	0	126
A	AS04	symptom	General weakness or tiredness	asthenia;exhaustion;fatigue;lassitude;lethargy	chronic fatigue syndrome AS05.00;drowsiness AS99;heat exhaustion AD45;jetlag AD45;malaise/feeling ill AS06;postviral fatigue AS05;sleep disturbance PS06	0	127
A	AS05	symptom	Postviral fatigue		weakness/tiredness, general AS04	0	128
A	AS06	symptom	Feeling ill	malaise	cachexia TS07;feeling old PS22;malnutrition TD74	0	129
A	AS07	symptom	Fainting 	blackout;collapse;vasovagal attack	coma AS53;feeling faint/giddiness/dizziness NS09	0	130
A	AS08	category	Frailty	decline of intrinsic capacity		0	131
A	AS09	symptom	Swelling and generalized edema	lump, mass not specified to a location	enlarged lymph gland BS01;oedema KS04;swelling breast (breast lump/mass female) GS26;swelling joint LS20	0	132
A	AS10	symptom	Sweating problem	diffuse hyperhydrosis;perspiration problem	sweat gland disease SD73	0	133
A	AS11	symptom	Bleeding		ecchymosis SD35	0	134
A	AS12	symptom	Chest pain		pain attributed to chest wall LS04;pain attributed to heart KS01;pain attributed to respiratory system RS01	0	135
A	AS13	symptom	Irritable infant	excessively crying infant;restless infant	infantile colic DS01;restless child/adult PS04	0	136
A	AS14	symptom	Fall of unknown origin			0	137
A	AS50	clinicalFinding	Other specified abnormal result investigation	abnormal unexplained hyperglycaemia;abnormal unexplained pathology or imaging results;abnormal thyroid stimulating hormone (TSH) results;uraemia	abnormal cervix smear GS50;abnormal urine test US50;raised erythrocyte  sedimentation rate BS52;unexplained abnormal white cells BS51;vitamin/nutritional deficiency TD73	0	138
A	AS52	clinicalFinding	Shock	cardiogenic shock;septic shock;toxic shock syndrome	anaphylacted shock AD46;traumatic shock AD37	0	139
A	AS53	clinicalFinding	Coma	stupor	nondiabetic hypoglycaemic coma TD70;post-traumatic coma ND36;syncope AS07;type 1 diabetic coma TD71;type 2 diabetic coma TD72;uremic coma UD99	0	140
A	AS90	complaint	Concern or fear of disease	fear of death;fear of dying		0	141
