kind	key	label	description
metric	ACTIVE_TIME	活动时间	活跃运动时间
metric	DAILY_ACTIVITY_INTENSITY_HIGH	高强度活动时间	高强度活动的时间
metric	DAILY_ACTIVITY_INTENSITY_MEDIUM	中强度活动时间	中强度活动的时间
metric	DAILY_ACTIVITY_INTENSITY_LOW	低强度活动时间	低强度活动的时间
metric	ALTITUDE_CHANGE	海拔变化	运动过程中的海拔净变化量
metric	ALTITUDE_GAIN	海拔增益	运动过程中的海拔上升总量
metric	HOURLY_APNEA_INDEX	呼吸暂停指数	每小时呼吸暂停事件次数
metric	DAILY_APNEA_INDEX	呼吸暂停指数	每小时呼吸暂停事件次数
metric	AWAKE_TIME	清醒时间	睡眠期间的清醒时间
metric	BIA_RESISTANCE	生物电阻抗	生物电阻抗测量值
metric	BIRTH_DATE	出生日期	用户出生日期
metric	BLOOD_GLUCOSE	血糖	血液中的葡萄糖浓度
metric	BLOOD_OXYGEN	血氧饱和度	血液中氧气饱和度
metric	BLOOD_PRESSURE_DIASTOLIC	舒张压	心脏舒张时的血压
metric	BLOOD_PRESSURE_SYSTOLIC	收缩压	心脏收缩时的血压
metric	BMI	身体质量指数	体重与身高的比值
metric	BMR	基础代谢率	维持基本生理功能所需的能量
metric	BODY_AGE	身体年龄	基于身体成分的生理年龄
metric	BODY_FAT_PERCENTAGE	体脂率	体内脂肪占体重的百分比
metric	BODY_SINEW	肌腱	肌腱量
metric	BODY_TEMPERATURE	体温	人体核心温度
metric	BODY_WATER_PERCENTAGE	体水分率	体内水分占体重的百分比
metric	BONE_MASS	骨量	骨骼重量
metric	CALORIES_ACTIVE	活动卡路里	运动消耗的卡路里
metric	CALORIES_BASAL	基础卡路里	基础代谢消耗的卡路里
metric	DAILY_CALORIES_TOTAL	总卡路里	总消耗卡路里（活动+基础代谢）
metric	CHOLESTEROL_HDL	高密度脂蛋白胆固醇	高密度脂蛋白胆固醇水平
metric	CHOLESTEROL_LDL	低密度脂蛋白胆固醇	低密度脂蛋白胆固醇水平
metric	CHOLESTEROL_TOTAL	总胆固醇	血液中总胆固醇水平
metric	CHOLESTEROL_TRIGLYCERIDES	甘油三酯	血液中甘油三酯水平
metric	CYCLING_DISTANCE	骑行距离	骑行总距离
metric	CYCLING_DURATION	骑行时长	骑行时长
metric	CYCLING_SPEED	骑行速度	骑行平均速度
metric	DAILY_CALORIES_ACTIVE	每日活动卡路里	每日运动消耗的卡路里汇总
metric	DAILY_CALORIES_BASAL	每日基础卡路里	每日基础代谢消耗的卡路里汇总
metric	DAILY_DISTANCE	每日距离	每日行走或运动距离汇总
metric	DEEP_SLEEP	深度睡眠	深度睡眠时间
metric	DIETARY_ALCOHOL	酒精摄入	酒精摄入量
metric	DIETARY_CAFFEINE	咖啡因摄入	咖啡因摄入量
metric	DIETARY_CARBS	碳水化合物摄入	碳水化合物摄入量
metric	DIETARY_CHOLESTEROL	胆固醇摄入	膳食胆固醇摄入量
metric	DIETARY_SODIUM	钠摄入	膳食钠摄入量
metric	DIETARY_ENERGY	能量摄入	总能量摄入量
metric	DIETARY_FATS	脂肪摄入	脂肪摄入量
metric	DIETARY_FIBRE	纤维摄入	膳食纤维摄入量
metric	DIETARY_MONOUNSATURATED	单不饱和脂肪酸摄入	单不饱和脂肪酸摄入量
metric	DIETARY_OMEGA3	Omega-3摄入	Omega-3脂肪酸摄入量
metric	DIETARY_OMEGA6	Omega-6摄入	Omega-6脂肪酸摄入量
metric	DIETARY_POLYUNSATURATED	多不饱和脂肪酸摄入	多不饱和脂肪酸摄入量
metric	DIETARY_PROTEIN	蛋白质摄入	蛋白质摄入量
metric	DIETARY_SATURATED	饱和脂肪酸摄入	饱和脂肪酸摄入量
metric	DIETARY_SUGAR	糖分摄入	糖分摄入量
metric	DIETARY_WATER	饮水量	每日饮水量
metric	DISTANCE	距离	行走或运动距离
metric	WALKING_RUNNING_DURATION	步行和跑步时长	步行和跑步时长
metric	ELECTROCARDIOGRAM_VOLTAGE	心电图电压	心电图电压信号
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD1	心电图I导联	心电图第I导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD2	心电图II导联	心电图第II导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD3	心电图III导联	心电图第III导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVF	心电图aVF导联	心电图aVF导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVL	心电图aVL导联	心电图aVL导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVR	心电图aVR导联	心电图aVR导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V1	心电图V1导联	心电图V1导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V2	心电图V2导联	心电图V2导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V3	心电图V3导联	心电图V3导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V3R	心电图V3R导联	心电图V3R导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V4	心电图V4导联	心电图V4导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V4R	心电图V4R导联	心电图V4R导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V5	心电图V5导联	心电图V5导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V5R	心电图V5R导联	心电图V5R导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V6	心电图V6导联	心电图V6导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V7	心电图V7导联	心电图V7导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V8	心电图V8导联	心电图V8导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_LEAD_V9	心电图V9导联	心电图V9导联电压
metric	ELECTROCARDIOGRAM_VOLTAGE_POSTERIOR_LEADS	心电图后壁导联	心电图后壁导联电压
metric	FAT_FREE_WEIGHT	去脂体重	除脂肪外的体重
metric	FLOORS_CLIMBED	爬楼层数	爬升的楼层数
metric	FLOORS_CLIMBED_DURATION	爬楼时长	爬升的楼层时长
metric	DAILY_FLOORS_CLIMBED	爬楼层数	爬升的楼层数
metric	HEART_RATE	心率	每分钟心跳次数
metric	HEART_RATE_MAX	最大心率	运动期间的最大心率
metric	DAILY_HEART_RATE_MAX	最大心率	运动期间的最大心率
metric	HEART_RATE_MIN	最小心率	运动期间的最小心率
metric	DAILY_HEART_RATE_MIN	最小心率	运动期间的最小心率
metric	DAILY_HEART_RATE_AVG	平均心率	运动期间的平均心率
metric	RESTING_HEART_RATE	静息心率	静息状态下的心率
metric	DAILY_HEART_RATE_RESTING	静息心率	静息状态下的心率
metric	HEIGHT	身高	身体高度
metric	HRV	心率变异性	心跳间隔的变化
metric	HRV_RMSSD	心率变异性RMSSD	相邻心跳间隔差的均方根
metric	IGE_BAHA_GRASS	巴哈草过敏原IgE	巴哈草过敏原特异性IgE抗体水平
metric	IGG_DAIRY	乳制品IgG	乳制品特异性IgG抗体水平
metric	INSULIN_INJECTION_LONG_ACTING	长效胰岛素注射	长效胰岛素注射量
metric	INSULIN_INJECTION_RAPID_ACTING	速效胰岛素注射	速效胰岛素注射量
metric	LIGHT_SLEEP	浅度睡眠	浅度睡眠时间
metric	MAX_HEART_RATE_PROFILE	个人最大心率	用户个人资料中设定的最大心率值
metric	MINDFULNESS_MINUTES	正念时间	正念冥想时间
metric	MUSCLE_PERCENTAGE	肌肉率	肌肉占体重的百分比
metric	PROTEIN_PERCENTAGE	蛋白质率	蛋白质占体重的百分比
metric	RECOVERY_SCORE	恢复分数	身体恢复状态评分百分比，基于心率变异性、静息心率等指标
metric	RECOVERY_TIME	恢复时间	建议的恢复时间
metric	REM_SLEEP	REM睡眠	快速眼动睡眠时间
metric	RESPIRATORY_RATE	呼吸频率	每分钟呼吸次数
metric	RESPIRATORY_RATE_MIN	最小呼吸频率	最小呼吸频率
metric	RESPIRATORY_RATE_MAX	最大呼吸频率	最大呼吸频率
metric	RESPIRATORY_RATE_AVG	平均呼吸频率	平均呼吸频率
metric	CADENCE	步频	运动时的步频
metric	CADENCE_MIN	最小步频	最小步频
metric	CADENCE_MAX	最大步频	最大步频
metric	HRV_MIN	最小心率变异性	最小心率变异性
metric	HRV_MAX	最大心率变异性	最大心率变异性
metric	STRESS_LEVEL_MIN	最小压力水平	最小压力水平
metric	STRESS_LEVEL_MAX	最大压力水平	最大压力水平
metric	QTC_INTERVAL	QTc间期	校正QT间期（心脏电活动）
metric	QTC_INTERVAL_MIN	最小QTc间期	最小校正QT间期
metric	QTC_INTERVAL_MAX	最大QTc间期	最大校正QT间期
metric	SHOCK_LEVEL	冲击水平	运动冲击水平
metric	SHOCK_LEVEL_MIN	最小冲击水平	最小冲击水平
metric	SHOCK_LEVEL_MAX	最大冲击水平	最大冲击水平
metric	STRAIN_MIN	最小应变	最小应变水平
metric	STRAIN_MAX	最大应变	最大应变水平
metric	HR_ZONE_1_TIME	心率区间1时间	在心率区间1的时间（50-60%最大心率）
metric	HR_ZONE_2_TIME	心率区间2时间	在心率区间2的时间（60-70%最大心率）
metric	HR_ZONE_3_TIME	心率区间3时间	在心率区间3的时间（70-80%最大心率）
metric	HR_ZONE_4_TIME	心率区间4时间	在心率区间4的时间（80-90%最大心率）
metric	HR_ZONE_5_TIME	心率区间5时间	在心率区间5的时间（90-100%最大心率）
metric	NORMAL_BEATS_COUNT	正常心跳次数	正常心跳的次数
metric	ABNORMAL_BEATS_COUNT	异常心跳次数	异常心跳的次数
metric	UNKNOWN_BEATS_COUNT	无法识别心跳次数	无法识别的心跳次数
metric	NORMAL_RHYTHM_PERCENTAGE	正常心律百分比	正常心律占比
metric	ABNORMAL_RHYTHM_PERCENTAGE	异常心律百分比	异常心律占比
metric	ARRHYTHMIA_NORMAL_SEGMENTS	正常心律段数	正常心律的分析段数
metric	ARRHYTHMIA_AFIB_SEGMENTS	房颤段数	检测到的心房颤动分析段数
metric	ARRHYTHMIA_OTHER_SEGMENTS	其他异常心律段数	其他异常心律的分析段数
metric	ARRHYTHMIA_NOISE_SEGMENTS	噪声段数	噪声干扰的分析段数
metric	ARRHYTHMIA_AFIB_DURATION	房颤持续时间	心房颤动的总持续时间
metric	ARRHYTHMIA_AFIB_PERCENTAGE	房颤占比	心房颤动时间占比
metric	SKIN_TEMPERATURE	皮肤温度	皮肤表面温度测量值
metric	SLEEP_ANALYSIS_ASLEEP_CORE	睡眠分析-核心睡眠	睡眠分析中的核心睡眠阶段时长
metric	SLEEP_ANALYSIS_ASLEEP_DEEP	睡眠分析-深度睡眠	睡眠分析中的深度睡眠阶段时长
metric	SLEEP_ANALYSIS_ASLEEP_REM	睡眠分析-REM睡眠	睡眠分析中的REM睡眠阶段时长
metric	SLEEP_ANALYSIS_ASLEEP_UNSPECIFIED	睡眠分析-未指定睡眠	睡眠分析中的未指定睡眠阶段时长
metric	SLEEP_ANALYSIS_AWAKE	睡眠分析-清醒	睡眠分析中的清醒阶段时长
metric	SLEEP_ASLEEP_CORE	核心睡眠	核心睡眠时间
metric	SLEEP_ASLEEP_DEEP	深度睡眠	深度睡眠时间
metric	SLEEP_ASLEEP_REM	REM睡眠	REM睡眠时间
metric	SLEEP_AWAKE	清醒时间	睡眠期间的清醒时间
metric	SLEEP_CONSISTENCY	睡眠一致性	睡眠时间一致性百分比，衡量睡眠作息的规律性
metric	SLEEP_DISTURBANCES	睡眠干扰次数	睡眠期间的干扰和觉醒次数
metric	SLEEP_DURATION	睡眠时长	总睡眠时间
metric	SLEEP_EFFICIENCY	睡眠效率	实际睡眠时间占在床时间的百分比
metric	SLEEP_IN_BED	在床时间	在床上的总时间
metric	SLEEP_LATENCY	入睡时间	从躺下到入睡的时间
metric	SLEEP_NAP	午睡时长	短时间白天小憩时长
metric	SLEEP_PERFORMANCE	睡眠表现	睡眠表现评分百分比，基于实际睡眠时间与需要睡眠时间的比较
metric	SLEEP_QUALITY	睡眠质量	睡眠质量评分
metric	SLEEP_UNSPECIFIED	未分类睡眠	未分类的睡眠时间
metric	SPEED	速度	运动速度
metric	WALKING_SPEED	步行速度	步行速度
metric	STEPS	步数	行走步数统计
metric	STEP_DURATION	步行时长	步行时长
metric	DAILY_STEPS	每日步数	每日步数汇总
metric	DAILY_AVG_HEART_RATE	每日平均心率	每日平均心率汇总
metric	DAILY_WEIGHT	每日体重	每日体重测量汇总
metric	DAILY_SLEEP_EFFICIENCY	每日睡眠效率	每日睡眠效率汇总
metric	DAILY_SLEEP_DURATION	每日在床时间	每日总在床时间
metric	DAILY_TOTAL_SLEEP_TIME	每日总睡眠时间	每日总睡眠时间
metric	DAILY_DEEP_SLEEP	每日深度睡眠	每日深度睡眠时长
metric	DAILY_LIGHT_SLEEP	每日浅睡眠	每日浅睡眠时长
metric	DAILY_REM_SLEEP	每日REM睡眠	每日REM睡眠时长
metric	DAILY_AWAKE_TIME	每日睡眠清醒时间	每日睡眠期间清醒时间
metric	DAILY_SLEEP_LATENCY	每日入睡时间	每日入睡时间
metric	DAILY_SLEEP_AVG_HEART_RATE	每日睡眠平均心率	每日睡眠期间平均心率
metric	DAILY_SLEEP_LOWEST_HEART_RATE	每日睡眠最低心率	每日睡眠期间最低心率
metric	DAILY_SLEEP_AVG_HRV	每日睡眠平均HRV	每日睡眠期间平均HRV
metric	DAILY_WORKOUT_AVG_HRV	平均HRV	每日平均HRV
metric	DAILY_SLEEP_RESPIRATORY_RATE	每日睡眠呼吸率	每日睡眠期间平均呼吸率
metric	DAILY_SLEEP_SKIN_TEMPERATURE	每日睡眠皮肤温度	每日睡眠期间平均皮肤温度
metric	DAILY_SLEEP_TEMPERATURE_DELTA	每日睡眠体温偏差	每日体温偏差
metric	STRAIN	身体压力	身体压力评分，基于心率数据计算的心血管负荷指标
metric	STRESS_LEVEL	压力水平	身体压力水平评分
metric	STRESS_HIGH_DURATION	高压力时长	每日高压力状态持续时长（分钟）
metric	RECOVERY_HIGH_DURATION	高恢复时长	每日高恢复状态持续时长（分钟）
metric	SUBCUTANEOUS_FAT	皮下脂肪	皮下脂肪百分比
metric	TEMPERATURE_DELTA	体温变化	睡眠期间体温变化
metric	TOTAL_SLEEP	总睡眠时间	实际睡眠的总时间
metric	TOTAL_SLEEP_TIME	总睡眠时间	实际睡眠的总时间
metric	TRAINING_LOAD	训练负荷	训练强度和负荷评分
metric	DAILY_TRAINING_LOAD	训练负荷	训练强度和负荷评分
metric	USER_GENDER	性别	用户性别信息
metric	USER_SEX	生理性别	用户生理性别
metric	UV_EXPOSURE	紫外线暴露	紫外线暴露指数
metric	VISCERAL_FAT	内脏脂肪	内脏周围脂肪等级
metric	VO2_MAX	最大摄氧量	最大氧气摄取能力
metric	WAIST_CIRCUMFERENCE	腰围	腰部围度
metric	WALKING_HEART_RATE	步行心率	步行时的心率
metric	DAILY_WALKING_HEART_RATE	步行心率	步行时的心率
metric	WEIGHT	体重	身体总重量
metric	WHEELCHAIR_USE	轮椅使用	是否使用轮椅
metric	WORKOUT_DURATION	锻炼时长	总锻炼时间
metric	WORKOUT_DURATION_HIGH	高强度锻炼时长	高强度锻炼时间
metric	WORKOUT_DURATION_LOW	低强度锻炼时长	低强度锻炼时间
metric	WORKOUT_DURATION_MEDIUM	中强度锻炼时长	中强度锻炼时间
metric	WORKOUT_STRAIN	锻炼压力	单次锻炼的身体压力评分
metric	WRIST_TEMPERATURE	手腕温度	手腕皮肤温度
metric	DAILY_DEEP_SLEEP_PERCENTAGE	深睡比例	深度睡眠占总睡眠的比例
metric	DAILY_LIGHT_SLEEP_PERCENTAGE	浅睡比例	浅睡阶段占总睡眠的比例
metric	DAILY_REM_SLEEP_PERCENTAGE	REM睡眠比例	REM睡眠占总睡眠的比例
metric	DAILY_SLEEP_CYCLE_TIMES	睡眠周期数	睡眠周期的总数
metric	DAILY_SLEEP_CONTINUITY	睡眠连续性指数	睡眠连续性的衡量指标
metric	DAILY_SLEEP_SFFCY	睡眠效率	睡眠效率的评估指标
metric	DAILY_RESPIRATORY_RATES	平均呼吸	本次睡眠的平均呼吸频率
metric	DAILY_MAX_RESPIRATORY_RATES	最高呼吸率	睡眠过程中最高的呼吸频率
metric	DAILY_MIN_RESPIRATORY_RATES	最低呼吸率	睡眠过程中最低的呼吸频率
metric	DAILY_BASE_RESPIRATORY_RATES	当次基准呼吸	本次睡眠的基准呼吸频率
metric	DAILY_FAST_RESPIRATORY_DURATION	呼吸过快时长	呼吸过快的总时长
metric	DAILY_SLOW_RESPIRATORY_DURATION	呼吸过慢时长	呼吸过慢的总时长
metric	DAILY_HYPOPNEA_INDEX	低通气次数	睡眠中低通气的次数
metric	DAILY_SLEEP_BASE_HEART_RATE	当次基准心率	本次睡眠的基准心率
metric	DAILY_SLEEP_MAX_HEART_RATE	最高心率	睡眠过程中最高的心率
metric	DAILY_SLEEP_MIN_HEART_RATE	最低心率	睡眠过程中最低的心率
metric	DAILY_SLEEP_FAST_HEART_RATE_DURATION	心率过快时长	心率过快的总时长
metric	DAILY_SLEEP_SLOW_HEART_RATE_DURATION	心率过慢时长	心率过慢的总时长
metric	DAILY_SLEEP_HEART_RATE_OVER_115PCT_DURATION	心率超过基准115%时长	心率超过基准1.15倍的时长
metric	DAILY_SLEEP_HEART_RATE_OVER_125PCT_DURATION	心率超过基准125%时长	心率超过基准1.25倍的时长
metric	DAILY_SLEEP_HEART_RATE_BELOW_75PCT_DURATION	心率低于基准75%时长	心率低于基准75%的时长
metric	DAILY_SLEEP_HEART_RATE_BELOW_85PCT_DURATION	心率低于基准85%时长	心率低于基准85%的时长
metric	SLEEP_LONG_TERM_BASE_SDNN	长期SDNN	长期心率变异性SDNN基准值
metric	SLEEP_TOTAL_HEART_ENERGY	心脏总能量	心脏活动的总能量测量值
metric	SLEEP_BASE_TOTAL_HEART_ENERGY	心脏总能量基准值	心脏活动总能量的基准参考值
metric	SLEEP_VAGAL_TONE_INDEX	迷走神经张力指数	迷走神经活动的实际测量值
metric	SLEEP_BASE_VAGAL_TONE_INDEX	迷走神经张力指数基准值	迷走神经活动的基准参考值
metric	SLEEP_SYMPATHETIC_TONE_INDEX	交感神经张力指数	交感神经活动的实际测量值
metric	SLEEP_BASE_SYMPATHETIC_TONE_INDEX	交感神经张力指数基准值	交感神经活动的基准参考值
metric	SLEEP_AUTONOMIC_BALANCE_INDEX	自主神经平衡指数	自主神经系统平衡的实际测量值
metric	SLEEP_BASE_AUTONOMIC_BALANCE_INDEX	自主神经平衡指数基准值	自主神经系统平衡的基准参考值。DC > 4.5 ms：迷走神经调节能力正常，猝死风险低。DC 在 2.6 - 4.5 ms：迷走神经调节能力下降，猝死风险中等。DC  2.5 ms：迷走神经调节能力显著下降，猝死风险高。
metric	SLEEP_HEART_RATE_DECELERATION_CAPACITY	心率减速力	心率变化的减速能力指标，反映了迷走神经对心率减速的调节能力
metric	SLEEP_LONG_TERM_HEART_RATE_DECELERATION_CAPACITY	长期心率减速力	长期心率变化的减速能力指标，反映了迷走神经对心率减速的调节能力
metric	SLEEP_ARRHYTHMIA_RISK_INDEX	心律失常风险指数	心律失常风险指数，反映了心脏跳动节律的总体变异性，可用于预测心律失常发生风险
metric	SLEEP_TEMP_VASOMOTOR_INDEX	体温及血管舒缩指数	体温及血管舒缩指数
metric	SLEEP_BASE_TEMP_VASOMOTOR_INDEX	体温及血管舒缩指数基准值	体温及血管舒缩指数基准值（近30天基线数据）
metric	SLEEP_FEMALE_HORMONE_INDEX	女性荷尔蒙指数	女性荷尔蒙指数
metric	SLEEP_BASE_FEMALE_HORMONE_INDEX	女性荷尔蒙指数基准值	女性荷尔蒙指数基准值（近30天基线数据）
metric	SLEEP_HEART_RATE_RMSSD	RMSSD	副交感神经（迷走神经）对心脏的调节能力
metric	DAILY_SLEEP_IN_BED_PILLOW_OFF_COUNT	睡眠中离枕次数	睡眠过程中离开枕头的次数
metric	DAILY_SLEEP_TOTAL_PILLOW_OFF_COUNT	离枕总次数	离开枕头的总次数
metric	DAILY_SLEEP_BODY_MOVEMENT_COUNT	体动次数	睡眠过程中身体活动的次数
metric	DAILY_SLEEP_AVG_BODY_MOVEMENT_DUR	体动平均时长	体动的平均时长
metric	DAILY_AWAKE_TIMES	清醒次数	睡眠过程中清醒的次数
metric	DAILY_AWAKE_DURATION	清醒时长	清醒状态的总时长
