surface	tokens
血糖	glucose|blood|sugar
空腹	fasting
餐后	postprandial
葡萄糖	glucose
糖化血红蛋白	hba1c|glycated|hemoglobin
糖化	glycated|hba1c
肌酐	creatinine
胆固醇	cholesterol
甘油三酯	triglycerides
低密度	ldl|low-density
高密度	hdl|high-density
脂蛋白	lipoprotein
血脂	lipid
维生素	vitamin
转氨酶	aminotransferase|transaminase
丙氨酸氨基转移酶	alt|alanine
谷丙转氨酶	alt|alanine|aminotransferase
谷草转氨酶	ast|aspartate|aminotransferase
天门冬氨酸氨基转移酶	ast|aspartate
尿酸	uric|acid
血红蛋白	hemoglobin|hgb
血小板	platelet|plt
甲状腺	thyroid
甲功	thyroid|tsh
促甲状腺激素	tsh|thyroid|stimulating
深睡	deep|sleep
睡眠	sleep
步数	step|count
心率	heart|rate
静息	resting|rhr
变异性	variability|hrv
体脂	body|fat
血压	blood|pressure|systolic|diastolic|bp
收缩压	systolic
舒张压	diastolic
白细胞	white|blood|cell|wbc|leukocyte
c反应蛋白	crp|c-reactive|reactive|protein
铁蛋白	ferritin
同型半胱氨酸	homocysteine
骨密度	bone|density|t-score
腰围	waist|circumference
体重	weight|body
压力	stress
血常规	blood|count|cbc
肝功能	liver|aminotransferase
肾功能	kidney|creatinine|gfr
肾功	kidney|creatinine|gfr
体重指数	bmi|mass|index
肾小球滤过率	gfr|egfr|glomerular
cholesterol	cholesterol|ldl|hdl
liver	aminotransferase|transferase
kidney	creatinine|gfr
thyroid	thyroid|thyroxine|triiodothyronine
anemia	hemoglobin|ferritin|iron
vitamin d	vitamind
