member	name	display	category	standard_unit	unit_ucum	data_type	state_class	aggregation_policy	loinc	window	panel	aggregation_methods	derived	description	since
ACTIVE_TIME	exerciseMinutes	Active Time	Activity Metrics	min	min	series	cumulative	sum_delta		00:00		total		Active exercise time	1.4.0
DAILY_ACTIVITY_INTENSITY_HIGH	dailyActivityIntensityHigh	Daily Activity Intensity High	Activity Metrics	min	min	summary	provider_daily	provider_value		00:00				High intensity activity time	1.4.0
DAILY_ACTIVITY_INTENSITY_MEDIUM	dailyActivityIntensityMedium	Daily Activity Intensity Medium	Activity Metrics	min	min	summary	provider_daily	provider_value		00:00				Medium intensity activity time	1.4.0
DAILY_ACTIVITY_INTENSITY_LOW	dailyActivityIntensityLow	Daily Activity Intensity Low	Activity Metrics	min	min	summary	provider_daily	provider_value		00:00				Low intensity activity time	1.4.0
ALTITUDE_CHANGE	altitudeChange	Altitude Change	Performance Metrics	m	m	series	instant	last		00:00				Net altitude change during exercise	1.4.0
ALTITUDE_GAIN	altitudeGain	Altitude Gain	Performance Metrics	m	m	series	instant	last		00:00				Total altitude gain during exercise	1.4.0
HOURLY_APNEA_INDEX	hourlyApneaIndex	Hourly Apnea Index	Medical Metrics	count/hour	/h	summary	provider_daily	provider_value		00:00				Number of apnea events per hour	1.4.0
DAILY_APNEA_INDEX	dailyApneaIndex	Daily Apnea Index	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of apnea events per sleep	1.4.0
AWAKE_TIME	sleepAnalysis_Awake	Awake Time	Sleep Metrics	ms	ms	series	session	duration_union		18:00		total		Awake time during sleep period	1.4.0
BIA_RESISTANCE	biaResistance	BIA Resistance	Device Specific	Ω	Ohm	mix	instant	last		00:00	body_composition			Bioelectrical impedance analysis measurement value	1.4.0
BIRTH_DATE	birthDate	Birth Date	Lifestyle	date	date	series	instant	last		00:00				User birth date	1.4.0
BLOOD_GLUCOSE	bloodGlucoses	Blood Glucose	Metabolic Metrics	mg/dL	mg/dL	series	instant	last	2339-0	00:00		avg,max,min,last,stddev,time_of_max,time_of_min,tir_70_180,pct_below_70,pct_above_180,tir_70_140,pct_above_140,hypo_event_count,hypo_event_times,hypo_event_details,gmi_14d	time_of_max,time_of_min,tir_70_180,pct_below_70,pct_above_180,tir_70_140,pct_above_140,hypo_event_count,hypo_event_times,hypo_event_details,gmi_14d	Glucose concentration in blood	1.4.0
BLOOD_OXYGEN	oxygenSaturations	Blood Oxygen	Vital Signs	%	%	series	instant	last	2708-6	00:00		avg,min,max		Oxygen saturation level in blood	1.4.0
